Date,Description,Debit,Credit,Amount,Category Type,Category
27/02/23,SPEI RECIBIDOSTP,0,7153.95,7153.95,income,Other
27/02/23,STR*UBER TRIP,132.06,0,-132.06,expenses,Transportation
27/02/23,STR*UBER TRIP,59.99,0,-59.99,expenses,Transportation
27/02/23,PAGO INTERBANCARIO TDC,3750,0,-3750,expenses,Banking Services
27/02/23,SORIANA110 CANEK,200.53,0,-200.53,expenses,Supermarket
28/02/23,AMAZON PRIME,99,0,-99,expenses,Technology
1/3/2023,PAYPAL *NINTENDO,594,0,-594,expenses,Technology
2/3/2023,PAGO CUENTA DE TERCERO,0,155,155,income,Other
2/3/2023,SPEI RECIBIDOBANAMEX,0,155,155,income,Other
2/3/2023,PAGO CUENTA DE TERCERO,334,0,-334,expenses,Other
2/3/2023,PAYPAL RAPPI,109,0,-109,expenses,Food
2/3/2023,SORIANA110 CANEK,374.9,0,-374.9,expenses,Supermarket
2/3/2023,OXXO CENTRAL DEABASTOS,18.5,0,-18.5,expenses,Supermarket
3/3/2023,SPEI ENVIADO NAFIN,1074.26,0,-1074.26,expenses,Other
3/3/2023,DPV TAME,81,0,-81,expenses,Other
4/3/2023,PAGO CUENTA DE TERCERO,0,955,955,income,Other
6/3/2023,STR*UBER TRIP,69.98,0,-69.98,expenses,Transportation
6/3/2023,PAYPAL AUTOBUSESDE,321,0,-321,expenses,Travel
7/3/2023,PAYPAL SPOTIFY,115,0,-115,expenses,Leisure and Entertainment
8/3/2023,PAGO CUENTA DE TERCERO,600,0,-600,expenses,Other
9/3/2023,SPEI RECIBIDOSANTANDER,0,7895.74,7895.74,income,Debts and Loans
9/3/2023,STRIPE*UBER TRIP,83.16,0,-83.16,expenses,Transportation
10/3/2023,SPEI ENVIADO BANORTE,31,0,-31,expenses,Other
10/3/2023,SPEI ENVIADO NAFIN,5000,0,-5000,expenses,Other
10/3/2023,SAT,72,0,-72,expenses,Taxes
10/3/2023,PAGO CUENTA DE TERCERO,0,105,105,income,Other
12/3/2023,PAGO CUENTA DE TERCERO,0,600,600,income,Other
12/3/2023,PAGO CUENTA DE TERCERO,0,800,800,income,Other
13/03/23,STR*UBER TRIP,49.98,0,-49.98,expenses,Transportation
13/03/23,UNIV POLITECNICA YUC,70,0,-70,expenses,Education
13/03/23,STRIPE*UBER TRIP,92.28,0,-92.28,expenses,Transportation
13/03/23,PAYPAL AUTOBUSESDE,229,0,-229,expenses,Travel
13/03/23,STR*UBER TRIP,70.06,0,-70.06,expenses,Transportation
14/03/23,PAYPAL RESURIIOTAKU,838.48,0,-838.48,expenses,Other
14/03/23,STR*UBER TRIP,69.94,0,-69.94,expenses,Transportation
14/03/23,PAYPAL AUTOBUSESDE,321,0,-321,expenses,Travel
15/03/23,SPEI ENVIADO BANORTE,15,0,-15,expenses,Other
15/03/23,PAGO CUENTA DE TERCERO,27,0,-27,expenses,Other
15/03/23,SPEI RECIBIDOSANTANDER,0,2189.99,2189.99,income,Debts and Loans
15/03/23,PAGO CUENTA DE TERCERO,100,0,-100,expenses,Other
15/03/23,SPEI RECIBIDOSANTANDER,0,3206.52,3206.52,income,Debts and Loans
16/03/23,PAGO VIDA SEG DINAMICO,294.32,0,-294.32,expenses,Insurance
16/03/23,SPEI ENVIADO NAFIN,5000,0,-5000,expenses,Other
16/03/23,STR*UBER TRIP,139.95,0,-139.95,expenses,Transportation
16/03/23,STR*UBER TRIP,42.31,0,-42.31,expenses,Transportation
17/03/23,PAYPAL *NINTENDO,937.33,0,-937.33,expenses,Technology
21/03/23,PAYPAL *NINTENDO,1103.23,0,-1103.23,expenses,Technology
21/03/23,RECARGAS Y PAQUETES BMOV,150,0,-150,expenses,Telecommunications
21/03/23,PAGO CUENTA DE TERCERO,0,150,150,income,Other
21/03/23,SORIANA110 CANEK,636.29,0,-636.29,expenses,Supermarket
22/03/23,STRIPE*UBER PENDING,39.9,0,-39.9,expenses,Transportation
22/03/23,STRIPE*UBER TRIP,79.99,0,-79.99,expenses,Transportation
22/03/23,SPEI RECIBIDOSANTANDER,0,5080,5080,income,Debts and Loans
23/03/23,PAGO CUENTA DE TERCERO,0,15,15,income,Other
23/03/23,PAGO INTERBANCARIO TDC,2860,0,-2860,expenses,Banking Services
23/03/23,PAGO CUENTA DE TERCERO,94,0,-94,expenses,Other
27/03/23,DQ PZA GRAN SANTA FE,87,0,-87,expenses,Food
27/03/23,OXXOXANILA,103.9,0,-103.9,expenses,Supermarket
29/03/23,STARBUCKS HARBOR MERID,93,0,-93,expenses,Food
29/03/23,SPEI RECIBIDOSANTANDER,0,1691.5,1691.5,income,Debts and Loans
30/03/23,SPEI ENVIADO BANAMEX,200,0,-200,expenses,Debts and Loans
30/03/23,RETIRO CAJERO AUTOMATICO,2000,0,-2000,expenses,Banking Services
31/03/23,PAGO CUENTA DE TERCERO,0,179,179,income,Other
31/03/23,OXXO CENTRAL DEABASTOS,43.5,0,-43.5,expenses,Supermarket
31/03/23,AMAZON MX MARKETPLACE,38.41,0,-38.41,expenses,Technology
3/4/2023,NETPAY*CARLS JR,179,0,-179,expenses,Food
3/4/2023,PAYPAL RAPPI,109,0,-109,expenses,Food
3/4/2023,PAYPAL RAPPI,237.8,0,-237.8,expenses,Food
3/4/2023,PAGO CUENTA DE TERCERO,0,2000,2000,income,Other
3/4/2023,NUTRISA12785 GAL MERID,80,0,-80,expenses,Food
3/4/2023,SORIANA912 MERIDA,105.8,0,-105.8,expenses,Supermarket
3/4/2023,STARBUCKS GRAN PLAZA,100,0,-100,expenses,Food
3/4/2023,PAGO CUENTA DE TERCERO,0,28,28,income,Other
4/4/2023,SPEI RECIBIDOBANAMEX,0,24,24,income,Other
4/4/2023,PAGO CUENTA DE TERCERO,950,0,-950,expenses,Other
4/4/2023,PAGO CUENTA DE TERCERO,1600,0,-1600,expenses,Other
4/4/2023,COSTCO MERIDA II,249,0,-249,expenses,Supermarket
4/4/2023,BURGER KING CAUCEL,163,0,-163,expenses,Food
4/4/2023,SUC 135 TIENDA CHEDRAU,120.65,0,-120.65,expenses,Supermarket
5/4/2023,OXXO CENTRAL DEABASTOS,74.4,0,-74.4,expenses,Supermarket
12/4/2023,SAT,1,0,-1,expenses,Taxes
14/04/23,SPEI RECIBIDOSANTANDER,0,5027.81,5027.81,income,Debts and Loans
14/04/23,PAGO CUENTA DE TERCERO,600,0,-600,expenses,Other
17/04/23,PAGO VIDA SEG DINAMICO,294.32,0,-294.32,expenses,Insurance
17/04/23,RECARGAS Y PAQUETES BMOV,100,0,-100,expenses,Telecommunications
19/04/23,SPEI RECIBIDOBANAMEX,0,80.2,80.2,income,Other
19/04/23,STR*UBER TRIP,49.95,0,-49.95,expenses,Transportation
20/04/23,PAGO INTERBANCARIO TDC,3330,0,-3330,expenses,Banking Services
20/04/23,SPEI RECIBIDOSANTANDER,0,2387.68,2387.68,income,Debts and Loans
20/04/23,SAT,180,0,-180,expenses,Taxes
20/04/23,STR*UBER TRIP,79.99,0,-79.99,expenses,Transportation
21/04/23,STR*UBER TRIP,119.9,0,-119.9,expenses,Transportation
24/04/23,OXXO YUKALPETEN II,48,0,-48,expenses,Supermarket
24/04/23,CLIP MX*TAQUERIA LA FL,96,0,-96,expenses,Food
24/04/23,STR*UBER TRIP,120.75,0,-120.75,expenses,Transportation
24/04/23,PAYPAL *UBER BV,173.31,0,-173.31,expenses,Transportation
24/04/23,PAGO CUENTA DE TERCERO,200,0,-200,expenses,Other
24/04/23,PAGO CUENTA DE TERCERO,120,0,-120,expenses,Other
26/04/23,PAGO CUENTA DE TERCERO,119,0,-119,expenses,Other
26/04/23,RET CAJ OTRO BCO COM IVA,235.84,0,-235.84,expenses,Banking Services
26/04/23,PAYPAL RAPPI,207.7,0,-207.7,expenses,Food
27/04/23,DPV TAME,48,0,-48,expenses,Other
28/04/23,AMAZON PRIME,99,0,-99,expenses,Technology
28/04/23,PAYPAL AUTOBUSESDE,321,0,-321,expenses,Travel
28/04/23,STR*UBER TRIP,59.96,0,-59.96,expenses,Transportation
2/5/2023,PAYPAL SPOTIFY,115,0,-115,expenses,Leisure and Entertainment
5/5/2023,PAGO CUENTA DE TERCERO,0,2000,2000,income,Other
5/5/2023,SPEI RECIBIDOBANAMEX,0,55,55,income,Other
5/5/2023,PAGO CUENTA DE TERCERO,0,180,180,income,Other
5/5/2023,PAGO CUENTA DE TERCERO,1849,0,-1849,expenses,Other
8/5/2023,SORIANA110 CANEK,262.5,0,-262.5,expenses,Supermarket
8/5/2023,PAYPAL *UBER BV,89.94,0,-89.94,expenses,Transportation
8/5/2023,PAYPAL *UBER BV,79.99,0,-79.99,expenses,Transportation
12/5/2023,PAGO CUENTA DE TERCERO,0,250,250,income,Other
12/5/2023,PAYPAL *UBER BV,119.94,0,-119.94,expenses,Transportation
12/5/2023,PAYPAL *UBER BV,79.91,0,-79.91,expenses,Transportation
12/5/2023,GM 7 FCO MONTEJO,135,0,-135,expenses,Supermarket
12/5/2023,GM 7 FCO MONTEJO,23,0,-23,expenses,Supermarket
12/5/2023,PAGO CUENTA DE TERCERO,328,0,-328,expenses,Other
13/05/23,PAGO CUENTA DE TERCERO,0,1500,1500,income,Other
15/05/23,PAYPAL *UBER BV,49.95,0,-49.95,expenses,Transportation
16/05/23,PAGO VIDA SEG DINAMICO,294.32,0,-294.32,expenses,Insurance
17/05/23,PAGO CUENTA DE TERCERO,0,223,223,income,Other
18/05/23,SPEI RECIBIDOBANAMEX,0,71,71,income,Other
18/05/23,SPEI RECIBIDOSANTANDER,0,3709.83,3709.83,income,Debts and Loans
18/05/23,PAYPAL *UBER BV,91.98,0,-91.98,expenses,Transportation
18/05/23,OXXOIMSS LA CEIBA MID,56,0,-56,expenses,Supermarket
19/05/23,PAGO CUENTA DE TERCERO,0,500,500,income,Other
19/05/23,COSTCO MERIDA II,40,0,-40,expenses,Supermarket
20/05/23,PAGO CUENTA DE TERCERO,0,196,196,income,Other
21/05/23,RETIRO CAJERO AUTOMATICO,400,0,-400,expenses,Banking Services
22/05/23,PAYPAL *UBER BV,148.15,0,-148.15,expenses,Transportation
23/05/23,PAGO INTERBANCARIO TDC,4000,0,-4000,expenses,Banking Services
