Date,Description,Debit,Credit,Amount,Category Type,Category
27/01/24,PAGO CUENTA DE TERCERO,0.0,250.0,250.0,income,Other
29/01/24,PAYPAL *UBERBV EATS,398.0,0.0,-398.0,expenses,Food
29/01/24,PAYPAL *UBER BV,82.69,0.0,-82.69,expenses,Transportation
29/01/24,AMAZON PRIME,99.0,0.0,-99.0,expenses,Technology
29/01/24,PAGO CUENTA DE TERCERO,600.0,0.0,-600.0,expenses,Other
29/01/24,PAYPAL*UBERBV EATS,55.93,0.0,-55.93,expenses,Transportation
30/01/24,PAGO CUENTA DE TERCERO,0.0,202.0,202.0,income,Other
30/01/24,PAYPAL *UBERBV EATS,228.0,0.0,-228.0,expenses,Food
31/01/24,PAYPAL *UBER BV,84.96,0.0,-84.96,expenses,Transportation
02/02/24,PAYPAL *UBER BV,61.44,0.0,-61.44,expenses,Transportation
02/02/24,PAYPAL *UBER BV,92.89,0.0,-92.89,expenses,Transportation
06/02/24,PAYPAL *UBER BV,62.56,0.0,-62.56,expenses,Transportation
10/02/24,PAGO CUENTA DE TERCERO,0.0,2500.0,2500.0,income,Other
12/02/24,D LOCAL*HBO MAX,179.0,0.0,-179.0,expenses,Technology
12/02/24,PAGO CUENTA DE TERCERO,650.0,0.0,-650.0,expenses,Other
12/02/24,PAYPAL *UBER BV,64.89,0.0,-64.89,expenses,Transportation
12/02/24,PAYPAL *UBER BV,87.04,0.0,-87.04,expenses,Transportation
12/02/24,DEPOSITO DE TERCERO API,0.0,33255.83,33255.83,income,Other
13/02/24,SPEI ENVIADO BANAMEX,2500.0,0.0,-2500.0,expenses,Debts and Loans
13/02/24,PAGO CUENTA DE TERCERO,0.0,900.0,900.0,income,Other
13/02/24,PAGO CUENTA DE TERCERO,0.0,635.0,635.0,income,Other
13/02/24,PAYPAL *UBERBV EATS,298.0,0.0,-298.0,expenses,Food
14/02/24,PAYPAL *UBER BV,51.2,0.0,-51.2,expenses,Transportation
15/02/24,PAGO CUENTA DE TERCERO,0.0,135.0,135.0,income,Other
16/02/24,PAYPAL *UBERBV EATS,204.0,0.0,-204.0,expenses,Food
16/02/24,PAYPAL *UBER BV,116.89,0.0,-116.89,expenses,Transportation
19/02/24,PAYPAL *UBER BV,91.26,0.0,-91.26,expenses,Transportation
19/02/24,PAGO CUENTA DE TERCERO,650.0,0.0,-650.0,expenses,Other
19/02/24,PAGO CUENTA DE TERCERO,0.0,715.27,715.27,income,Other
19/02/24,PAGO CUENTA DE TERCERO,0.0,350.0,350.0,income,Other
20/02/24,PAYPAL*RLYNIC3MAIL RL,179.39,0.0,-179.39,expenses,Other
20/02/24,PAYPAL *UBER BV,50.41,0.0,-50.41,expenses,Transportation
20/02/24,PAYPAL *UBER BV,172.0,0.0,-172.0,expenses,Transportation
20/02/24,PAYPAL *UBER BV,51.13,0.0,-51.13,expenses,Transportation
20/02/24,PAYPAL *UBER BV,131.51,0.0,-131.51,expenses,Transportation
20/02/24,PAGO CUENTA DE TERCERO,0.0,100.0,100.0,income,Other
21/02/24,COSTCO MERIDA II,190.0,0.0,-190.0,expenses,Supermarket
22/02/24,PAGO CUENTA DE TERCERO,0.0,72.0,72.0,income,Other
23/02/24,PAGO CUENTA DE TERCERO,0.0,310.0,310.0,income,Other
24/02/24,SPEI RECIBIDOSANTANDER,0.0,450.0,450.0,income,Debts and Loans
25/02/24,SPEI ENVIADO HSBC,890.0,0.0,-890.0,expenses,Other
26/02/24,PAYPAL *UBER BV,122.26,0.0,-122.26,expenses,Transportation
26/02/24,PAYPAL*UBER BV,222.4,0.0,-222.4,expenses,Transportation
26/02/24,PAYPAL *UBER BV,52.46,0.0,-52.46,expenses,Transportation
26/02/24,PAGO CUENTA DE TERCERO,0.0,500.0,500.0,income,Other
26/02/24,PAGO CUENTA DE TERCERO,0.0,281.0,281.0,income,Other
26/02/24,PAGO INTERBANCARIO TDC,4000.0,0.0,-4000.0,expenses,Banking Services
26/02/24,PAYPAL *UBER BV,130.94,0.0,-130.94,expenses,Transportation
